KOJ2,공주,36.4708,127.1447
KOSB,고성,38.6028,128.3596
KUJA,거제,34.8885,128.6047
KWJ2,무등산(광주),35.1599,126.991
KWJU,무등산(광주),35.1599,126.9911
LIWA,이원,36.2481,127.6138
LMGA,임계,37.4918,128.8638
MALA,마령,35.7445,127.3478
MANA,무안,35.0941,126.285
MGY2,문경,36.6538,128.0608
MIYA,밀양,35.4916,128.7444
MJDB,만재도,34.2074,125.4691
MLGA,물금,35.3113,128.9969
MMD,매물도,34.6488,128.5769
MND,무녀도,35.8043,126.4242
MNDB,문덕,34.9665,127.1609
MOGA,모곡,37.6962,127.5825
MOPB,목포,34.8169,126.3809
MSNA,밀양산내,35.5884,128.9538
MUS2,문산,37.8855,126.7656
NACA,내초,35.9505,126.591
NAHA,남해,34.8167,127.9261
NAJA,나주,35.026,126.8265
NAMB,내면,37.7711,128.3863
NAWB,남원,35.4213,127.3964
NCNA,내촌,37.8197,128.0919
NJDA,난지도,37.0503,126.4221
NLDA,나로도,34.5325,127.4672
NOSA,노성,36.2837,127.1272
OKCB,옥천,36.3479,127.7957
OKEB,옥계,37.6209,128.9802
OYDB,외연도,36.2294,126.0757
PGEA,평은,36.756,128.6921
PHA2,포항,36.193,129.3708
PORA,보령,36.3278,126.5575
PTKA,평택,36.9969,127.1353
PUAA,부안,35.7296,126.7168
PYCA,면온,37.562,128.3778
PYCB,평창,37.3775,128.3947
PYSB,표선,33.3536,126.8168
SACA,산청,35.4131,127.879
SAJB,상주,36.4078,128.1575
SCHA,순천,35.0199,127.3691
SECA,서천,36.1421,126.7518
SEO3,서울,37.4939,126.9171
SES2,서산,36.7893,126.4531
SESA,서석,37.7196,128.1735
SGMA,상면,37.828,127.288
SGNA,성남,37.4462,127.1831
SGP2,서귀포,33.2587,126.4983
SH2B,서화,38.2686,128.2525
SHHB,시흥,37.3488,126.7039
SIJA,시종,34.8954,126.5881
SKBA,석보,36.5211,129.1791
SKC2,속초,38.2899,128.5219
SLSA,설성,37.1348,127.5196
SMKB,새만금,35.6891,126.5561
SMWA,심원,35.5259,126.5524
SNDA,신동,37.2616,128.5957
SNGB,신기,37.3465,129.0862
SNNA,신녕,36.0502,128.7111
SODA,종로구,37.5714,126.9559
SUBA,수비,36.7826,129.2211
SUCA,순창,35.3737,127.1386
SWO2,수원,37.2808,126.9823
TAHA,태하,37.515,130.8118
TAIA,태인,35.6507,126.9318
TANB,태안,36.6731,126.1353
TBA2,태백,37.1182,128.9153
TEJ2,대전,36.3721,127.3714
TOHA,동해,37.507,129.1238
TOY2,통영,34.8452,128.4361
UDO,우도,33.5228,126.954
UJBA,의정부,37.7549,127.1064
UJNA,울진,36.9926,129.4136
ULDR,울릉도,37.4809,130.8987
ULJ2,온정,36.7021,129.4083
UNCA,웅촌,35.4695,129.2395
USN2,울산,35.7024,129.1232
WAN2,완도,34.3959,126.7019
WICA,위천,35.7312,127.8016
WJU2,원주,37.4034,128.0527
WNBA,원북,36.8237,126.2571
YAGA,양동,37.407,127.7568
YALB,야로,35.7279,128.1934
YAPA,양평,37.489,127.4942
YAYA,강현,38.1438,128.6025
YAYB,양양,38.0194,128.7231
YC2B,연천,38.0399,126.9258
YCHB,예천,36.6223,128.4373
YDGA,영동,36.0925,127.7943
YEAB,예안,36.6611,128.8873
YEGA,영광,35.2837,126.4777
YESA,여수,34.7396,127.7405
YEYB,영양,36.6251,129.088
YGAA,용암,35.8532,128.3657
YGBA,양북,35.7954,129.3865
YGGA,양구,38.098,127.9852
YGJA,용정,35.0278,128.4834
YINB,용인,37.271,127.2265
YJD3,영종도,37.499,126.5494
